Medicine,Condition,Reviews,Ratings,Date,Useful Count
Abilify,Depression,"I started taking Abilify to compliment years of taking Effexor.  I am on 5 mg, and am experiencing many of the symptoms I am reading about here - weight gain, feelings of emptiness, and craving for sweets.  The good part of it is all the depressing and worrisome voices are out of my head.  The bad thing is the emptiness, but I figure I should filling that void with good things - hobbies, music, more quality time with my beautiful wife.  Maybe that's the healing, not the pill.",7,"July 25, 2016",43
Abilify,Depression,I can leave my home and run errands without freaking out or sitting in the parking lot waiting for my husband or kids to drive me home.,10,"July 21, 2016",59
Abilify,Depression,"This is one dangerous drug as for me it made me feel half dead to me and the world around me it made my depression even worse and anxiety really bad to the point I was unable to do the things I wanted to enjoy. Was unable to settle..It put me in a dark place and gave me really bad dreams and good luck if on it more than 6months to come off, may the force be with you, it's a horrific experience so please keep clear!",1,"July 18, 2016",28
Abilify,Depression,"I was prescribed this medication after I  already tried lithium and seroquel. The lithium helped me a lot & the seroquel gave me bad headaches. So they put me on abilify. I could not sleep no matter what I took to help, I was restless , I threw up , my body temperature switched from hot to cold rapidly. I couldn't stand without being dizzy. It was the worst experience. My depression was better but my anxiety was insane. Definitely not worth the side effects",3,"June 30, 2016",28
Abilify,Depression,I have been on 20 mg of Abilify now for about 10 years. When I first began taking it I gained over 100 pounds in 6 months. I finally stopped gaining at 250. I have tried everything to take the weight off. Nothing. My doctor added 20 mg of Lexapro. I gained 30 more pounds. I am going to stop taking the Abilify as the weight gain is causing health issues. I just hope the weight will come off.,3,"June 18, 2016",39
Abilify,Depression,"Thank you for helping to relieve my anguish!  Depressed and low, my nurse offered this med and it is nice.  Of course, we are concerned about side effects, but I haven't had any serious issues with this one.  I am a White Female.  I am over 21.  How long is the recommended length of therapy with this med?  My nurse brings meds when he visited our home especially for me.  I am a busy home maker.  Basically, this is gentle yet effective.",6,"June 12, 2016",16
Abilify,Depression,"This drug has really helped me get back to the "" the old me"" again. I gain five sounds with this medication which I am not happy about but medication has really help me with my deprestion.",10,"May 31, 2016",32
Abilify,Depression,I suffer from depression and anxiety and have taken every antidepressant medication you can possibly take. It wasn't until my doctor added abilify that I was able to function again.,10,"May 29, 2016",72
Abilify,Depression,"Started with 2mg in addition to mirtazipine, didn't notice much difference.  Now up to 5mg, for about a week, and still don't really notice any difference in my mood.  Everything is blah.  Life is blah.  This drug has really not done anything good or bad for me.",3,"May 27, 2016",25
Abilify,Depression,"I was on Abilify for about 6 months.as an add on booster to take with my Effexor   It helped somewhat  with my anxiety,  but not uresolved. Depression symptoms.  I felt like a zombie (which isn't always a bad  thing ) lol.  About 2 weeks after I stopped  taking it I developed a jerking movement in my arm,  but it went  away in a  few months.",5,"May 27, 2016",21
Abilify,Depression,Been on the drug for a few months now put on 2 stone and not happy about the weight at all as always have battled with my weight. Everyone says they have noticed the difference in me but think it's just the weight that's getting me down.,1,"May 12, 2016",15
Abilify,Depression,"I have suffered depression most of my life and finally was ""diagnosed"" by a psychopharmacologist in 2011.  I have been on pretty much every antidepressant known to man over the past 20 years and finally was put on a cocktail of Lithium, Prozac, Wellbutrin and Conazepam (at bedtime).  I had also taken Abilify at this time for about 1 year but the doctor felt I probably didn't need it anymore as I was stable.  However, for about the past 2 years I have been suffering from MAJOR fatigue and some days I was unable to go work as I was so tired.  My GP has just put me back on Abilify 5 mg and I feel fantastic.  I have so much energy and I have found happiness and enjoyment in the things I had lost interest in.",10,"April 30, 2016",90
Abilify,Depression,"I was told by my doctor that I might gain weight. He said that the signal in the brain that says, ""Thank you, I've had enough!"" which is what I always go by, and it keeps my weight steady, is DELAYED.  It's TRUE. he says portion control is the key. We shall see. I'm trying but I've already gained about three pounds and notice that I eat way more. I'll let you know if I get a handle on it. The drug is THE one added to my cocktail that made the difference.",8,"April 25, 2016",46
